Iteration,Method,Time_ms,Residual
122,SymmetricGS_Chebyshev,138.138,5.54607e-07
123,Jacobi,79.4558,5.66105e-16
123,GaussSeidel,11.871,7.76916e-11
123,SymmetricGS,108.324,5.66105e-16
123,SymmetricGS_Chebyshev,138.846,1.10193e-06
124,Jacobi,80.1593,5.66105e-16
124,GaussSeidel,11.8408,7.76916e-11
124,SymmetricGS,109.009,5.66105e-16
124,SymmetricGS_Chebyshev,139.452,2.11897e-07
125,Jacobi,81.0006,5.66105e-16
125,GaussSeidel,11.9834,7.76916e-11
125,SymmetricGS,110.097,5.66105e-16
125,SymmetricGS_Chebyshev,140.882,8.67423e-07
126,Jacobi,81.3859,5.66105e-16
126,GaussSeidel,11.7925,7.76916e-11
126,SymmetricGS,111.237,5.66105e-16
126,SymmetricGS_Chebyshev,142.388,6.55533e-08
127,Jacobi,82.1463,5.66105e-16
127,GaussSeidel,11.8341,7.76916e-11
127,SymmetricGS,112.05,5.66105e-16
127,SymmetricGS_Chebyshev,141.731,6.4879e-07
128,Jacobi,82.8178,5.66105e-16
128,GaussSeidel,11.8665,7.76916e-11
128,SymmetricGS,112.421,5.66105e-16
128,SymmetricGS_Chebyshev,143.357,1.49649e-07
129,Jacobi,83.5638,5.66105e-16
129,GaussSeidel,11.7501,7.76916e-11
129,SymmetricGS,113.431,5.66105e-16
129,SymmetricGS_Chebyshev,143.512,4.60775e-07
130,Jacobi,84.3155,5.66105e-16
130,GaussSeidel,11.7456,7.76916e-11
130,SymmetricGS,114.841,5.66105e-16
130,SymmetricGS_Chebyshev,145.124,1.99616e-07
131,Jacobi,84.6329,5.66105e-16
131,GaussSeidel,11.819,7.76916e-11
131,SymmetricGS,115.699,5.66105e-16
131,SymmetricGS_Chebyshev,146.016,3.08721e-07
132,Jacobi,85.3842,5.66105e-16
132,GaussSeidel,11.9475,7.76916e-11
132,SymmetricGS,116.046,5.66105e-16
132,SymmetricGS_Chebyshev,146.905,2.09486e-07
133,Jacobi,86.4585,5.66105e-16
133,GaussSeidel,11.9865,7.76916e-11
133,SymmetricGS,117.427,5.66105e-16
133,SymmetricGS_Chebyshev,147.662,1.92117e-07
134,Jacobi,86.1051,5.66105e-16
134,GaussSeidel,12.0287,7.76916e-11
134,SymmetricGS,117.809,5.66105e-16
134,SymmetricGS_Chebyshev,147.895,1.94655e-07
135,Jacobi,86.8107,5.66105e-16
135,GaussSeidel,11.7765,7.76916e-11
135,SymmetricGS,118.932,5.66105e-16
135,SymmetricGS_Chebyshev,150.901,1.07199e-07
136,Jacobi,88.3752,5.66105e-16
136,GaussSeidel,11.8449,7.76916e-11
136,SymmetricGS,120.054,5.66105e-16
136,SymmetricGS_Chebyshev,150.268,1.67098e-07
137,Jacobi,89.1404,5.66105e-16
137,GaussSeidel,11.7555,7.76916e-11
137,SymmetricGS,120.387,5.66105e-16
137,SymmetricGS_Chebyshev,151.037,4.88326e-08
138,Jacobi,89.0289,5.66105e-16
138,GaussSeidel,12.1554,7.76916e-11
138,SymmetricGS,121.159,5.66105e-16
138,SymmetricGS_Chebyshev,152.627,1.34997e-07
139,Jacobi,89.4823,5.66105e-16
139,GaussSeidel,11.9448,7.76916e-11
139,SymmetricGS,122.252,5.66105e-16
139,SymmetricGS_Chebyshev,153.52,1.28286e-08
140,Jacobi,90.5412,5.66105e-16
